net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,12,6.613,0.016447,109.027,83.695
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,12,6.613,0.016447,121.512,95.207
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,crease,30,37.612,0.093546,45.751,72.581
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,52,16.617,0.041328,31.531,88.786
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,crease,63,37.612,0.093546,18.515,107.697
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,crease,64,3.968,0.009868,8.012,109.745
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,6,3.968,0.009868,57.523,9.798
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,crease,4,1.671,0.004155,86.281,23.718
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,29,37.912,0.094291,88.519,25.03
GND,1,549.344,288,54 37 54 37 19 37 19 1 19 1 0 1 0 4 0 14 13 14 13 12 13 12 11 12 11 10 11 10 11 14 32 50 68 69 4 5 6 24 42 60 59 60 59 73,S40 S36 C14 C0 C3 S17 S18 S16 S14 S12 S12 C30 S52 C63 C64 S6 C4 S29 S45 S65 C54 S77,seam,45,16.859,0.041931,241.77,28.481
